Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
20170010459,Gràcia,Vallcarca i els Penitents,Vallcarca / Maignon                               ,Monday,December,18,13,Morning,1,0,1,2,2.149393,41.408095
20170010460,Les Corts,Pedralbes,Diagonal                                          ,Monday,December,18,16,Afternoon,1,0,1,2,2.106528,41.382695
20170010461,Horta-Guinardó,la Vall d'Hebron,B-20 (Besòs)                                      ,Monday,December,18,11,Morning,0,0,0,2,2.144012,41.428075
20170010462,Sarrià-Sant Gervasi,les Tres Torres,Bonanova                                          ,Monday,December,18,16,Afternoon,3,0,3,4,2.129324,41.404208000000004
20170010463,Sant Andreu,Sant Andreu,Campeny / Gran de Sant Andreu                     ,Monday,December,18,16,Afternoon,1,0,1,1,2.18857,41.439809000000004
20170010464,Gràcia,la Vila de Gràcia,Torrent de les Flors / Bruniquer                  ,Monday,December,18,17,Afternoon,1,0,1,1,2.161326,41.405064
20170010465,Ciutat Vella,la Barceloneta,Sant Carles / Salamanca                           ,Monday,December,18,17,Afternoon,3,0,3,2,2.191207,41.379551
20170010466,Les Corts,Pedralbes,Bisbe Català / Bosch i Gimpera                    ,Monday,December,18,18,Afternoon,2,0,2,3,2.1148279999999997,41.396307
20170010467,Gràcia,Vallcarca i els Penitents,Maignon / Vallcarca                               ,Monday,December,18,19,Afternoon,1,0,1,1,2.149393,41.408095
20170010468,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal                                          ,Monday,December,18,12,Morning,1,0,1,1,2.145336,41.392701
20170010469,Eixample,Sant Antoni,Corts Catalanes                                   ,Monday,December,18,19,Afternoon,3,0,3,2,2.150545,41.376505
20170010470,Eixample,la Dreta de l'Eixample,Pau Claris / Consell de Cent                      ,Monday,December,18,20,Afternoon,1,0,1,2,2.167507,41.39244
20170010471,Eixample,la Dreta de l'Eixample,Corts Catalanes / Girona                          ,Monday,December,18,20,Afternoon,1,0,1,2,2.173277,41.393182
20170010472,Eixample,l'Antiga Esquerra de l'Eixample,Aragó                                             ,Monday,December,18,21,Afternoon,1,0,1,2,2.1598509999999997,41.388588
20170010473,Sants-Montjuïc,la Bordeta,Corts Catalanes                                   ,Monday,December,18,23,Night,1,0,1,2,2.1409130000000003,41.368518
20170010474,Sant Martí,el Camp de l'Arpa del Clot,Independència / Indústria                         ,Monday,December,18,20,Afternoon,3,0,3,2,2.1777330000000004,41.4121
20170010475,Horta-Guinardó,Can Baró,Padilla                                           ,Tuesday,December,19,0,Night,0,0,0,1,2.168214,41.412141
20170010476,Sant Andreu,Sant Andreu,Andana de l'Estació                               ,Monday,December,18,23,Night,1,0,1,1,2.193612,41.43718
20170010477,Les Corts,Pedralbes,Dalt (Llobregat)                                  ,Monday,December,18,21,Afternoon,4,0,4,3,2.107636,41.390569
20170010478,Nou Barris,Porta,Rio de Janeiro                                    ,Monday,December,18,18,Afternoon,1,0,1,2,2.1801049999999997,41.435448
20170010479,Gràcia,Vallcarca i els Penitents,Argentera / Cambrils                              ,Monday,December,18,19,Afternoon,2,0,2,2,2.14571,41.411781
20170010480,Eixample,l'Antiga Esquerra de l'Eixample,Josep Tarradellas / Sarrià                        ,Tuesday,December,19,1,Night,0,0,0,1,2.1436450000000002,41.390505
20170010481,Horta-Guinardó,Horta,Campoamor / Estatut de Catalunya                  ,Monday,December,18,23,Night,2,0,2,1,2.153714,41.435524
20170010482,Les Corts,les Corts,Constança / Taquígraf Garriga                     ,Tuesday,December,19,5,Night,3,0,3,5,2.135855,41.388125
20170010483,Eixample,la Sagrada Família,València / Lepant                                 ,Tuesday,December,19,8,Morning,1,0,1,2,2.177825,41.403574
20170010484,Sant Martí,el Parc i la Llacuna del Poblenou,Llull / Àlaba                                     ,Tuesday,December,19,9,Morning,1,0,1,2,2.194966,41.395679
20170010485,Sarrià-Sant Gervasi,les Tres Torres,Vergós                                            ,Tuesday,December,19,9,Morning,0,1,1,3,2.130814,41.399429999999995
20170010486,Horta-Guinardó,Horta,Vall d'Hebron                                     ,Tuesday,December,19,9,Morning,1,0,1,2,2.153861,41.438744
20170010487,Les Corts,les Corts,Joan Güell / Can Bruixa                           ,Tuesday,December,19,12,Morning,1,0,1,1,2.131105,41.383681
20170010488,Gràcia,la Salut,Secretari Coloma / Dalt                           ,Tuesday,December,19,11,Morning,1,0,1,2,2.1596990000000003,41.412498
20170010489,Eixample,l'Antiga Esquerra de l'Eixample,Sarrià / Josep Tarradellas                        ,Tuesday,December,19,11,Morning,1,0,1,2,2.1436450000000002,41.390505
20170010490,Gràcia,la Vila de Gràcia,Riera de Sant Miquel                              ,Saturday,December,16,18,Afternoon,0,0,0,1,2.158148,41.396645
20170010491,Sant Andreu,Sant Andreu,Meridiana                                         ,Tuesday,December,19,8,Morning,0,0,0,1,2.1833810000000002,41.435326
20170010492,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes                                   ,Tuesday,December,19,12,Morning,1,0,1,3,2.158433,41.381699
20170010493,Eixample,la Dreta de l'Eixample,Diagonal                                          ,Tuesday,December,19,12,Morning,1,0,1,3,2.163841,41.397866
20170010494,Gràcia,el Camp d'en Grassot i Gràcia Nova,Sardenya                                          ,Tuesday,December,19,12,Morning,1,0,1,2,2.1648110000000003,41.409715000000006
20170010495,Eixample,la Dreta de l'Eixample,Pau Claris / València                             ,Tuesday,December,19,10,Morning,1,0,1,2,2.165261,41.394135999999996
20170010496,Ciutat Vella,el Barri Gòtic,Colom                                             ,Tuesday,December,19,13,Morning,1,0,1,2,2.179138,41.377884
20170010497,Eixample,l'Antiga Esquerra de l'Eixample,Còrsega                                           ,Tuesday,December,19,13,Morning,1,0,1,2,2.152014,41.391144
